,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed
434,367,Huntail,3,Normal,Deep Sea Pokémon,1,watr,,1.7,27,2,Swift Swim,485,55,104,105,94,75,52
435,368,Gorebyss,3,Normal,South Sea Pokémon,1,watr,,1.8,22.6,2,Swift Swim,485,55,84,105,114,75,52
436,369,Relicanth,3,Normal,Longevity Pokémon,2,watr,Rock,1,23.4,3,Swift Swim,485,100,90,130,45,65,55
437,370,Luvdisc,3,Normal,Rendezvous Pokémon,1,watr,,0.6,8.7,2,Swift Swim,330,43,30,55,40,65,97
438,371,Bagon,3,Normal,Rock Head Pokémon,1,Dragon,,0.6,42.1,2,Rock Head,300,45,75,60,40,30,50
439,372,Shelgon,3,Normal,Endurance Pokémon,1,Dragon,,1.1,110.5,2,Rock Head,420,65,95,100,60,50,50
440,373,Salamence,3,Normal,Dragon Pokémon,2,Dragon,Flying,1.5,102.6,2,Intimidate,600,95,135,80,110,80,100
441,373,Mega Salamence,3,Normal,Dragon Pokémon,2,Dragon,Flying,1.8,112.6,1,Aerilate,700,95,145,130,120,90,120
442,374,Beldum,3,Normal,Iron Ball Pokémon,2,Steel,Psychic,0.6,95.2,2,Clear Body,300,40,55,80,35,60,30
443,375,Metang,3,Normal,Iron Claw Pokémon,2,Steel,Psychic,1.2,202.5,2,Clear Body,420,60,75,100,55,80,50
444,376,Metagross,3,Normal,Iron Leg Pokémon,2,Steel,Psychic,1.6,550,2,Clear Body,600,80,135,130,95,90,70
445,376,Mega Metagross,3,Normal,Iron Leg Pokémon,2,Steel,Psychic,2.5,942.9,1,Tough Claws,700,80,145,150,105,110,110
446,377,Regirock,3,Sub Legendary,Rock Peak Pokémon,1,Rock,,1.7,230,2,Clear Body,580,80,100,,50,100,50
447,378,Regice,3,Sub Legendary,Iceberg Pokémon,1,Ice,,1.8,175,2,Clear Body,580,80,50,100,100,200,50
448,379,Registeel,3,Sub Legendary,Iron Pokémon,1,Steel,,1.9,205,2,Clear Body,580,80,75,150,75,150,50
449,380,Latias,3,Sub Legendary,Eon Pokémon,2,Dragon,Psychic,1.4,40,1,Levitate,600,80,80,90,110,130,110
450,380,Mega Latias,3,Sub Legendary,Eon Pokémon,2,Dragon,Psychic,1.8,52,1,Levitate,700,80,100,120,140,150,110
451,381,Latios,3,Sub Legendary,Eon Pokémon,2,Dragon,Psychic,2,60,1,Levitate,600,80,90,,130,110,110
452,381,Mega Latios,3,Sub Legendary,Eon Pokémon,2,Dragon,Psychic,2.3,70,1,Levitate,700,80,130,100,160,120,110
453,382,Kyogre,3,Legendary,Sea Basin Pokémon,1,Water,,4.5,352,1,Drizzle,670,100,100,90,150,140,90
454,382,Primal Kyogre,3,Legendary,Sea Basin Pokémon,1,Water,,9.8,430,1,Primordial Sea,770,100,150,90,180,160,90
455,383,Groudon,3,Legendary,Continent Pokémon,1,Ground,,3.5,950,1,Drought,670,100,150,140,100,90,90
456,383,Primal Groudon,3,Legendary,Continent Pokémon,2,Ground,Fire,5,999.7,1,Desolate Land,770,100,180,160,150,90,90
457,384,Rayquaza,3,Legendary,Sky High Pokémon,2,Dragon,Flying,7,206.5,1,Air Lock,680,105,150,90,150,90,95
458,384,Mega Rayquaza,3,Legendary,Sky High Pokémon,2,Dragon,Flying,10.8,392,1,Delta Stream,780,105,180,100,180,100,115
459,385,Jirachi,3,Mythical,Wish Pokémon,2,Steel,Psychic,0.3,1.1,1,Serene Grace,600,100,100,,100,100,100
460,386,Deoxys Normal Forme,3,Mythical,DNA Pokémon,1,Psychic,,1.7,60.8,1,Pressure,600,50,150,50,150,50,150
461,386,Deoxys Attack Forme,3,Mythical,DNA Pokémon,1,Psychic,,1.7,60.8,1,Pressure,600,50,180,20,180,20,150
462,386,Deoxys Defense Forme,3,Mythical,DNA Pokémon,1,Psychic,,1.7,60.8,1,Pressure,600,50,70,,70,160,90
463,386,Deoxys Speed Forme,3,Mythical,DNA Pokémon,1,Psychic,,1.7,60.8,1,Pressure,600,50,95,90,95,90,180
464,387,Turtwig,4,Normal,Tiny Leaf Pokémon,1,Grass,,0.4,10.2,2,Overgrow,318,55,68,64,45,55,31
465,388,Grotle,4,Normal,Grove Pokémon,1,Grass,,1.1,97,2,Overgrow,405,75,89,85,55,65,36
466,389,Torterra,4,Normal,Continent Pokémon,2,Grass,Ground,2.2,310,2,Overgrow,525,95,109,105,75,85,56
467,390,Chimchar,4,Normal,Chimp Pokémon,1,Fire,,0.5,6.2,2,Blaze,309,44,58,44,58,44,61
468,391,Monferno,4,Normal,Playful Pokémon,2,Fire,Fighting,0.9,22,2,Blaze,405,64,78,52,78,52,81
469,392,Infernape,4,Normal,Flame Pokémon,2,Fire,Fighting,1.2,55,2,Blaze,534,76,104,,104,71,108
470,393,Piplup,4,Normal,Penguin Pokémon,1,Water,,0.4,5.2,2,Torrent,314,53,51,53,61,56,40
471,394,Prinplup,4,Normal,Penguin Pokémon,1,Water,,0.8,23,2,Torrent,405,64,66,68,81,76,50
472,395,Empoleon,4,Normal,Emperor Pokémon,2,Water,Steel,1.7,84.5,2,Torrent,530,84,86,88,111,101,60
473,396,Starly,4,Normal,Starling Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,245,40,55,,30,30,60
474,397,Staravia,4,Normal,Starling Pokémon,2,Normal,Flying,0.6,15.5,2,Intimidate,340,55,75,50,40,40,80
475,398,Staraptor,4,Normal,Predator Pokémon,2,Normal,Flying,1.2,24.9,2,Intimidate,485,85,120,70,50,60,100
476,399,Bidoof,4,Normal,Plump Mouse Pokémon,1,Normal,,0.5,20,3,Simple,250,59,45,40,35,40,31
477,400,Bibarel,4,Normal,Beaver Pokémon,2,Normal,Water,1,31.5,3,Simple,410,79,85,60,55,60,71
478,401,Kricketot,4,Normal,Cricket Pokémon,1,Bug,,0.3,2.2,2,Shed Skin,194,37,25,41,25,41,25
479,402,Kricketune,4,Normal,Cricket Pokémon,1,Bug,,1,25.5,2,Swarm,384,77,85,,55,51,65
480,403,Shinx,4,Normal,Flash Pokémon,1,Electric,,0.5,9.5,3,Rivalry,263,45,65,34,40,34,45
481,404,Luxio,4,Normal,Spark Pokémon,1,Electric,,0.9,30.5,3,Rivalry,363,60,85,49,60,49,60
482,405,Luxray,4,Normal,Gleam Eyes Pokémon,1,Electric,,1.4,42,3,Rivalry,523,80,120,79,95,79,70
483,406,Budew,4,Normal,Bud Pokémon,2,Grass,Poson,0.2,1.2,3,Natural Cure,280,40,30,,50,70,55
484,407,Roserade,4,Normal,Bouquet Pokémon,2,Grass,Poson,0.9,14.5,3,Natural Cure,515,60,70,65,125,105,90
485,408,Cranidos,4,Normal,Head Butt Pokémon,1,Rock,,0.9,31.5,2,Mold Breaker,350,67,125,40,30,30,58
486,409,Rampardos,4,Normal,Head Butt Pokémon,1,Rock,,1.6,102.5,2,Mold Breaker,495,97,165,60,65,50,58
487,410,Shieldon,4,Normal,Shield Pokémon,2,Rock,Steel,0.5,57,2,Sturdy,350,30,42,118,42,88,30
488,411,Bastiodon,4,Normal,Shield Pokémon,2,Rock,Steel,1.3,149.5,2,Sturdy,495,60,52,168,47,138,30
489,412,Burmy,4,Normal,Bagworm Pokémon,1,Bug,,0.2,3.4,2,Shed Skin,224,40,29,45,29,45,36
490,413,Wormadam Plant Cloak,4,Normal,Bagworm Pokémon,2,Bug,Grass,0.5,6.5,2,Anticipation,424,60,59,85,79,105,36
491,413,Wormadam Sandy Cloak,4,Normal,Bagworm Pokémon,2,Bug,Ground,0.5,6.5,2,Anticipation,424,60,79,105,59,85,36
492,413,Wormadam Trash Cloak,4,Normal,Bagworm Pokémon,2,Bug,Steel,0.5,6.5,2,Anticipation,424,60,69,,69,95,36
493,414,Mothim,4,Normal,Moth Pokémon,2,Bug,Flying,0.9,23.3,2,Swarm,424,70,94,50,94,50,66
494,415,Combee,4,Normal,Tiny Bee Pokémon,2,Bug,Flying,0.3,5.5,2,Honey Gather,244,30,30,42,30,42,70
495,416,Vespiquen,4,Normal,Beehive Pokémon,2,Bug,Flying,1.2,38.5,2,Pressure,474,70,80,102,80,102,40
496,417,Pachirisu,4,Normal,EleSquirrel Pokémon,1,Electric,,0.4,3.9,3,Run Away,405,60,45,70,45,90,95
497,418,Buizel,4,Normal,Sea Weasel Pokémon,1,Water,,0.7,29.5,2,Swift Swim,330,55,65,35,60,30,85
498,419,Floatzel,4,Normal,Sea Weasel Pokémon,1,Water,,1.1,33.5,2,Swift Swim,495,85,105,55,85,50,115
499,420,Cherubi,4,Normal,Cherry Pokémon,1,Grass,,0.4,3.3,1,Chlorophyll,275,45,35,45,62,53,35
500,421,Cherrim,4,Normal,Blossom Pokémon,1,Grass,,0.5,9.3,1,Flower Gift,450,70,60,70,87,78,85
501,422,Shellos,4,Normal,Sea Slug Pokémon,1,Water,,0.3,6.3,3,Sticky Hold,325,76,48,48,57,62,34
502,423,Gastrodon,4,Normal,Sea Slug Pokémon,2,Water,Ground,0.9,29.9,3,Sticky Hold,475,111,83,68,92,82,39
503,424,Ambipom,4,Normal,Long Tail Pokémon,1,Normal,,1.2,20.3,3,Technician,482,75,100,66,60,66,115
504,425,Drifloon,4,Normal,Balloon Pokémon,2,Ghost,Flying,0.4,1.2,3,Aftermath,348,90,50,34,60,44,70
505,426,Drifblim,4,Normal,Blimp Pokémon,2,Ghost,Flying,1.2,15,3,Aftermath,498,150,80,44,90,54,80
506,427,Buneary,4,Normal,Rabbit Pokémon,1,Normal,,0.4,5.5,3,Run Away,350,55,66,44,44,56,85
507,428,Lopunny,4,Normal,Rabbit Pokémon,1,Normal,,1.2,33.3,3,Cute Charm,480,65,76,84,54,96,105
508,428,Mega Lopunny,4,Normal,Rabbit Pokémon,2,Normal,Fighting,1.3,28.3,1,Scrappy,580,65,136,94,54,96,135
509,429,Mismagius,4,Normal,Magical Pokémon,1,Ghost,,0.9,4.4,1,Levitate,495,60,60,60,105,105,105
510,430,Honchkrow,4,Normal,Big Boss Pokémon,2,Dark,Flying,0.9,27.3,3,Insomnia,505,100,125,52,105,52,71
511,431,Glameow,4,Normal,Catty Pokémon,1,Normal,,0.5,3.9,3,Limber,310,49,55,42,42,37,85
512,432,Purugly,4,Normal,Tiger Cat Pokémon,1,Normal,,1,43.8,3,Thick Fat,452,71,82,64,64,59,112
513,433,Chingling,4,Normal,Bell Pokémon,1,Psychic,,0.2,0.6,1,Levitate,285,45,30,50,65,50,45
514,434,Stunky,4,Normal,Skunk Pokémon,2,Poison,Dark,0.4,19.2,3,Stench,329,63,63,47,41,41,74
515,435,Skuntank,4,Normal,Skunk Pokémon,2,Poison,Dark,1,38,3,Stench,479,103,93,67,71,61,84
516,436,Bronzor,4,Normal,Bronze Pokémon,2,Steel,Psychic,0.5,60.5,3,Levitate,300,57,24,86,24,86,23
517,437,Bronzong,4,Normal,Bronze Bell Pokémon,2,Steel,Psychic,1.3,187,3,Levitate,500,67,89,116,79,116,33
518,438,Bonsly,4,Normal,Bonsai Pokémon,1,Rock,,0.5,15,3,Sturdy,290,50,80,,10,45,10
519,439,Mime Jr.,4,Normal,Mime Pokémon,2,Psychic,Fairy,0.6,13,3,Soundproof,310,20,25,45,70,90,60
520,440,Happiny,4,Normal,Playhouse Pokémon,1,normal,,0.6,24.4,3,Natural Cure,220,100,5,5,15,65,30
521,441,Chatot,4,Normal,Music Note Pokémon,2,normal,Flying,0.5,1.9,3,Keen Eye,411,76,65,45,92,42,91
522,442,Spiritomb,4,Normal,Forbidden Pokémon,2,Ghost,Dark,1,108,2,Pressure,485,50,92,108,92,108,35
523,443,Gible,4,Normal,Land Shark Pokémon,2,Dragon,Ground,0.7,20.5,2,Sand Veil,300,58,70,45,40,45,42
524,444,Gabite,4,Normal,Cave Pokémon,2,Dragon,Ground,1.4,56,2,Sand Veil,410,68,90,65,50,55,82
525,445,Garchomp,4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95,2,Sand Veil,600,108,130,95,80,85,102
526,445,Mega Garchomp,4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95,1,Sand Force,700,108,170,115,120,95,92
527,446,Munchlax,4,Normal,Big Eater Pokémon,1,Normal,,0.6,105,3,Pickup,390,135,85,40,40,85,5
528,447,Riolu,4,Normal,Emanation Pokémon,1,Fighting,,0.7,20.2,3,Steadfast,285,40,70,40,35,40,60
529,448,Lucario,4,Normal,Aura Pokémon,2,Fighting,Steel,1.2,54,3,Steadfast,525,70,110,70,115,70,90
530,448,Mega Lucario,4,Normal,Aura Pokémon,2,Fighting,Steel,1.3,57.5,1,Adaptability,625,70,145,88,140,70,112
531,449,Hippopotas,4,Normal,Hippo Pokémon,1,Ground,,0.8,49.5,2,Sand Stream,330,68,72,,38,42,32
532,450,Hippowdon,4,Normal,Heavyweight Pokémon,1,Ground,,2,300,2,Sand Stream,525,108,112,118,68,72,47
533,451,Skorupi,4,Normal,Scorpion Pokémon,2,Poison,Bug,0.8,12,3,Battle Armor,330,40,50,90,30,55,65
534,452,Drapion,4,Normal,Ogre Scorp Pokémon,2,Poison,Dark,1.3,61.5,3,Battle Armor,500,70,90,110,60,75,95
535,453,Croagunk,4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,0.7,23,3,Anticipation,300,48,61,40,61,40,50
536,454,Toxicroak,4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,1.3,44.4,3,Anticipation,490,83,106,65,86,65,85
537,455,Carnivine,4,Normal,Bug Catcher Pokémon,1,Grass,,1.4,27,1,Levitate,454,74,100,,90,72,46
538,456,Finneon,4,Normal,Wing Fish Pokémon,1,Water,,0.4,7,3,Swift Swim,330,49,49,56,49,61,66
539,457,Lumineon,4,Normal,Neon Pokémon,1,Water,,1.2,24,3,Swift Swim,460,69,69,76,69,86,91
540,458,Mantyke,4,Normal,Kite Pokémon,2,Water,Flying,1,65,3,Swift Swim,345,45,20,50,60,120,50
541,459,Snover,4,Normal,Frost Tree Pokémon,2,Grass,Ice,1,50.5,2,Snow Warning,334,60,62,50,62,60,40
542,460,Abomasnow,4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.2,135.5,2,Snow Warning,494,90,92,75,92,85,60
543,460,Mega Abomasnow,4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.7,185,1,Snow Warning,594,90,132,105,132,105,30
544,461,Weavile,4,Normal,Sharp Claw Pokémon,2,Dark,Ice,1.1,34,2,Pressure,510,70,120,65,45,85,125
545,462,Magnezone,4,Normal,Magnet Area Pokémon,2,Electric,Steel,1.2,180,3,Magnet Pull,535,70,70,115,130,90,60
546,463,Lickilicky,4,Normal,Licking Pokémon,1,Normal,,1.7,140,3,Own Tempo,515,110,85,95,80,95,50
547,464,Rhyperior,4,Normal,Drill Pokémon,2,Ground,Rock,2.4,282.8,3,Lightning Rod,535,115,140,,55,55,40
548,465,Tangrowth,4,Normal,Vine Pokémon,1,Grass,,2,128.6,3,Chlorophyll,535,100,100,125,110,50,50
549,466,Electivire,4,Normal,Thunderbolt Pokémon,1,Electric,,1.8,138.6,2,Motor Drive,540,75,123,67,95,85,95
550,467,Magmortar,4,Normal,Blast Pokémon,1,Fire,,1.6,68,2,Flame Body,540,75,95,67,125,95,83
551,468,Togekiss,4,Normal,Jubilee Pokémon,2,Fairy,Flying,1.5,38,3,Hustle,545,85,50,95,120,115,80
552,469,Yanmega,4,Normal,Ogre Darner Pokémon,2,Bug,Flying,1.9,51.5,3,Speed Boost,515,86,76,86,116,56,95
553,470,Leafeon,4,Normal,Verdant Pokémon,1,Grass,,1,25.5,2,Leaf Guard,525,65,110,130,60,65,95
554,471,Glaceon,4,Normal,Fresh Snow Pokémon,1,Ice,,0.8,25.9,2,Snow Cloak,525,65,60,110,130,95,65
555,472,Gliscor,4,Normal,Fang Scorp Pokémon,2,Grund,Flying,2,42.5,3,Hyper Cutter,510,75,95,125,45,75,95
556,473,Mamoswine,4,Normal,Twin Tusk Pokémon,2,Ice,Ground,2.5,291,3,Oblivious,530,110,130,80,70,60,80
557,474,Porygon-Z,4,Normal,Virtual Pokémon,1,Normal,,0.9,34,3,Adaptability,535,85,80,70,135,75,90
558,475,Gallade,4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,52,2,Steadfast,518,68,125,65,65,115,80
559,475,Mega Gallade,4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,56.4,1,Inner Focus,618,68,165,95,65,115,110
560,476,Probopass,4,Normal,Compass Pokémon,2,Rock,Steel,1.4,340,3,Sturdy,525,60,55,145,75,150,40
561,477,Dusknoir,4,Normal,Gripper Pokémon,1,Ghost,,2.2,106.6,2,Pressure,525,45,100,135,65,135,45
562,478,Froslass,4,Normal,Snow Land Pokémon,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,480,70,80,70,80,70,110
563,479,Rotom,4,Normal,Plasma Pokémon,2,Electric,Ghost,0.3,0.3,1,Levitate,440,50,50,77,95,77,91
564,479,Heat Rotom,4,Normal,Plasma Pokémon,2,Electric,Fire,0.3,0.3,1,Levitate,520,50,65,,105,107,86
565,479,Wash Rotom,4,Normal,Plasma Pokémon,2,Electric,Water,0.3,0.3,1,Levitate,520,50,65,,105,107,86
566,479,Frost Rotom,4,Normal,Plasma Pokémon,2,Electric,Ice,0.3,0.3,1,Levitate,520,50,65,,105,107,86
567,479,Fan Rotom,4,Normal,Plasma Pokémon,2,Electric,Flying,0.3,0.3,1,Levitate,520,50,65,107,105,107,86
568,479,Mow Rotom,4,Normal,Plasma Pokémon,2,Electric,Grass,0.3,0.3,1,Levitate,520,50,65,107,105,107,86
569,480,Uxie,4,Sub Legendary,Knowledge Pokémon,1,Psychic,,0.3,0.3,1,Levitate,580,75,75,130,75,130,95
570,481,Mesprit,4,Sub Legendary,Emotion Pokémon,1,Psychic,,0.3,0.3,1,Levitate,580,80,105,105,105,105,80
571,482,Azelf,4,Sub Legendary,Willpower Pokémon,1,Psychic,,0.3,0.3,1,Levitate,580,75,125,70,125,70,115
572,483,Dialga,4,Legendary,Temporal Pokémon,2,Steel,Dragon,5.4,683,2,Pressure,680,100,120,120,150,100,90
573,484,Palkia,4,Legendary,Spatial Pokémon,2,Water,Dragon,4.2,336,2,Pressure,680,90,120,100,150,120,100
574,485,Heatran,4,Sub Legendary,Lava Dome Pokémon,2,Fire,Steel,1.7,430,2,Flash Fire,600,91,90,106,130,106,77
575,486,Regigigas,4,Sub Legendary,Colossal Pokémon,1,Normal,,3.7,420,1,Slow Start,670,110,160,110,80,110,100
576,487,Giratina Altered Forme,4,Legendary,Renegade Pokémon,2,Ghost,Dragon,4.5,750,2,Pressure,680,150,100,120,100,120,90
577,487,Giratina Origin Forme,4,Legendary,Renegade Pokémon,2,Ghost,Dragon,6.9,650,1,Levitate,680,150,120,100,120,100,90
578,488,Cresselia,4,Sub Legendary,Lunar Pokémon,1,Psychic,,1.5,85.6,1,Levitate,600,120,70,120,75,130,85
579,489,Phione,4,Mythical,Sea Drifter Pokémon,1,Water,,0.4,3.1,1,Hydration,480,80,80,,80,80,80
580,490,Manaphy,4,Mythical,Seafaring Pokémon,1,Water,,0.3,1.4,1,Hydration,600,100,100,,100,100,100
581,491,Darkrai,4,Mythical,Pitch-Black Pokémon,1,Dark,,1.5,50.5,1,Bad Dreams,600,70,90,,135,90,125
582,492,Shaymin Land Forme,4,Mythical,Gratitude Pokémon,1,Grass,,0.2,2.1,1,Natural Cure,600,100,100,,100,100,100
583,492,Shaymin Sky Forme,4,Mythical,Gratitude Pokémon,2,Grass,Flying,0.4,5.2,1,Serene Grace,600,100,103,,120,75,127
584,493,Arceus,4,Mythical,Alpha Pokémon,1,normal,,3.2,320,1,Multitype,720,120,120,,120,120,120
585,494,Victini,5,Mythical,Victory Pokémon,2,Psychic,Fire,0.4,4,1,Victory Star,600,100,100,,100,100,100
586,495,Snivy,5,Normal,Grass Snake Pokémon,1,Grass,,0.6,8.1,2,Overgrow,308,45,45,,45,55,63
587,496,Servine,5,Normal,Grass Snake Pokémon,1,Grass,,0.8,16,2,Overgrow,413,60,60,,60,75,83
588,497,Serperior,5,Normal,Regal Pokémon,1,Grass,,3.3,63,2,Overgrow,528,75,75,,75,95,113
589,498,Tepig,5,Normal,Fire Pig Pokémon,1,Fire,,0.5,9.9,2,Blaze,308,65,63,,45,45,45
590,499,Pignite,5,Normal,Fire Pig Pokémon,2,Fire,Fighting,1,55.5,2,Blaze,418,90,93,55,70,55,55
591,500,Emboar,5,Normal,Mega Fire Pig Pokémon,2,Fire,Fighting,1.6,150,2,Blaze,528,110,123,65,100,65,65
592,501,Oshawott,5,Normal,Sea Otter Pokémon,1,Water,,0.5,5.9,2,Torrent,308,55,55,45,63,45,45
593,502,Dewott,5,Normal,Discipline Pokémon,1,Water,,0.8,24.5,2,Torrent,413,75,75,60,83,60,60
594,503,Samurott,5,Normal,Formidable Pokémon,1,Water,,1.5,94.6,2,Torrent,528,95,100,85,108,70,70
595,504,Patrat,5,Normal,Scout Pokémon,1,Normal,,0.5,11.6,3,Run Away,255,45,55,39,35,39,42
596,505,Watchog,5,Normal,Lookout Pokémon,1,Normal,,1.1,27,3,Illuminate,420,60,85,69,60,69,77
597,506,Lillipup,5,Normal,Puppy Pokémon,1,Normal,,0.4,4.1,3,Vital Spirit,275,45,60,45,25,45,55
598,507,Herdier,5,Normal,Loyal Dog Pokémon,1,Normal,,0.9,14.7,3,Intimidate,370,65,80,65,35,65,60
599,508,Stoutland,5,Normal,Big-Hearted Pokémon,1,Normal,,1.2,61,3,Intimidate,500,85,110,90,45,90,80
600,509,Purrloin,5,Normal,Devious Pokémon,1,Dark,,0.4,10.1,3,Limber,281,41,50,,50,37,66
601,510,Liepard,5,Normal,Cruel Pokémon,1,Dark,,1.1,37.5,3,Limber,446,64,88,,88,50,106
602,511,Pansage,5,Normal,Grass Monkey Pokémon,1,Grass,,0.6,10.5,2,Gluttony,316,50,53,,53,48,64
603,512,Simisage,5,Normal,Thorn Monkey Pokémon,1,Grass,,1.1,30.5,2,Gluttony,498,75,98,,98,63,101
604,513,Pansear,5,Normal,High Temp Pokémon,1,Fire,,0.6,11,2,Gluttony,316,50,53,,53,48,64
605,514,Simisear,5,Normal,Ember Pokémon,1,Fire,,1,28,2,Gluttony,498,75,98,,98,63,101
606,515,Panpour,5,Normal,Spray Pokémon,1,Water,,0.6,13.5,2,Gluttony,316,50,53,,53,48,64
607,516,Simipour,5,Normal,Geyser Pokémon,1,Water,,1,29,2,Gluttony,498,75,98,,98,63,101
608,517,Munna,5,Normal,Dream Eater Pokémon,1,Psychic,,0.6,23.3,3,Forewarn,292,76,25,,67,55,24
609,518,Musharna,5,Normal,Drowsing Pokémon,1,Psychic,,1.1,60.5,3,Forewarn,487,116,55,85,107,95,29
610,519,Pidove,5,Normal,Tiny Pigeon Pokémon,2,normal,Flying,0.3,2.1,3,Big Pecks,264,50,55,50,36,30,43
611,520,Tranquill,5,Normal,Wild Pigeon Pokémon,2,normal,Flying,0.6,15,3,Big Pecks,358,62,77,62,50,42,65
612,521,Unfezant,5,Normal,Proud Pokémon,2,Normal,Flying,1.2,29,3,Big Pecks,488,80,115,80,65,55,93
613,522,Blitzle,5,Normal,Electrified Pokémon,1,Electric,,0.8,29.8,3,Lightning Rod,295,45,60,32,50,32,76
614,523,Zebstrika,5,Normal,Thunderbolt Pokémon,1,Electric,,1.6,79.5,3,Lightning Rod,497,75,100,63,80,63,116
615,524,Roggenrola,5,Normal,Mantle Pokémon,1,Rock,,0.4,18,3,Sturdy,280,55,75,85,25,25,15
616,525,Boldore,5,Normal,Ore Pokémon,1,Rock,,0.9,102,3,Sturdy,390,70,105,105,50,40,20
617,526,Gigalith,5,Normal,Compressed Pokémon,1,Rock,,1.7,260,3,Sturdy,515,85,135,,60,80,25
618,527,Woobat,5,Normal,Bat Pokémon,2,Psychic,Flying,0.4,2.1,3,Unaware,323,65,45,,55,43,72
619,528,Swoobat,5,Normal,Courting Pokémon,2,Psychic,Flying,0.9,10.5,3,Unaware,425,,57,,77,55,114
620,529,Drilbur,5,Normal,Mole Pokémon,1,Grund,,0.3,8.5,3,Sand Rush,328,60,85,,30,45,68
621,530,Excadrill,5,Normal,Subterrene Pokémon,2,Grund,Steel,0.7,40.4,3,Sand Rush,508,110,135,,50,65,88
622,531,Audino,5,Normal,Hearing Pokémon,1,Normal,,1.1,31,3,Healer,445,,60,,60,86,50
623,531,Mega Audino,5,Normal,Hearing Pokémon,2,Normal,Fairy,1.5,32,1,Healer,545,103,60,,80,126,50
624,532,Timburr,5,Normal,Muscular Pokémon,1,Fighting,,0.6,12.5,3,Guts,305,75,80,,25,35,35
625,533,Gurdurr,5,Normal,Muscular Pokémon,1,Fighting,,1.2,40,3,Guts,405,85,105,,40,50,40
626,534,Conkeldurr,5,Normal,Muscular Pokémon,1,Fighting,,1.4,87,3,Guts,505,105,140,,55,65,45
627,535,Tympole,5,Normal,Tadpole Pokémon,1,Water,,0.5,4.5,3,Swift Swim,294,50,50,,50,40,64
628,536,Palpitoad,5,Normal,Vibration Pokémon,2,Water,Ground,0.8,17,3,Swift Swim,384,75,65,,65,55,69
629,537,Seismitoad,5,Normal,Vibration Pokémon,2,Water,Ground,1.5,62,3,Swift Swim,509,,95,,85,75,74
630,538,Throh,5,Normal,Judo Pokémon,1,Fighting,,1.3,55.5,3,Guts,465,120,100,,30,85,45
631,539,Sawk,5,Normal,Karate Pokémon,1,Fighting,,1.4,51,3,Sturdy,465,,125,,30,75,85
632,540,Sewaddle,5,Normal,Sewing Pokémon,2,Bug,grass,0.3,2.5,3,Swarm,310,45,53,,40,60,42
633,541,Swadloon,5,Normal,Leaf-Wrapped Pokémon,2,Bug,grass,0.5,7.3,3,Leaf Guard,380,55,63,,50,80,42
634,542,Leavanny,5,Normal,Nurturing Pokémon,2,Bug,grass,1.2,20.5,3,Swarm,500,75,103,80,70,80,92
635,543,Venipede,5,Normal,Centipede Pokémon,2,Bug,Poson,0.4,5.3,3,Poison Point,260,30,45,59,30,39,57
636,544,Whirlipede,5,Normal,Curlipede Pokémon,2,Bug,Poson,1.2,58.5,3,Poison Point,360,40,55,99,40,79,47
637,545,Scolipede,5,Normal,Megapede Pokémon,2,Bug,Poison,2.5,200.5,3,Poison Point,485,60,100,89,55,69,112
638,546,Cottonee,5,Normal,Cotton Puff Pokémon,2,Grass,Fairy,0.3,0.6,3,Prankster,280,40,27,60,37,50,66
639,547,Whimsicott,5,Normal,Windveiled Pokémon,2,Grass,Fairy,0.7,6.6,3,Prankster,480,60,67,85,77,75,116
640,548,Petilil,5,Normal,Bulb Pokémon,1,Grass,,0.5,6.6,3,Chlorophyll,280,45,35,50,70,50,30
641,549,Lilligant,5,Normal,Flowering Pokémon,1,Grass,,1.1,16.3,3,Chlorophyll,480,70,60,75,110,75,90
642,550,Basculin Red-Striped Form,5,Normal,Hostile Pokémon,1,Water,,1,18,3,Reckless,460,70,92,,80,55,98
643,550,Basculin Blue-Striped Form,5,Normal,Hostile Pokémon,1,Water,,1,18,3,Rock Head,460,70,92,,80,55,98
644,551,Sandile,5,Normal,Desert Croc Pokémon,2,Ground,Dark,0.7,15.2,3,Intimidate,292,50,72,,35,35,65
645,552,Krokorok,5,Normal,Desert Croc Pokémon,2,Ground,Dark,1,33.4,3,Intimidate,351,60,82,,45,45,74
646,553,Krookodile,5,Normal,Intimidation Pokémon,2,Ground,Dark,1.5,96.3,3,Intimidate,519,95,117,,65,70,92
647,554,Darumaka,5,Normal,Zen Charm Pokémon,1,Fire,,0.6,37.5,2,Hustle,315,70,90,,15,45,50
648,554,Galarian Darumaka,5,Normal,Zen Charm Pokémon,1,Ice,,0.7,40,2,Hustle,315,70,90,,15,45,50
